"Product_Name","Weight","Unit","Number_Per_Unit","Storage_Form","Number_Whole_Package","Art_Nr_Supplier","Article_Number","Country","GTIN","Category"
"Tommasi Amarone 37,5cl","0,38 kg","X 0,375 l","X 0,375 l","VSÖ","12","2235002","474817","Italien","",""
"Malmö Akvavit 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","1","7008402","474668","Sverige","","Kryddad sprit"
"Armagnac De Montal VSOP 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","1","7025601","474106","Frankrike","","Armagnac"
"Polo Torcolato Barrique 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","1","1006739","481309","Sverige","8014115000871","Grappa"
"Monin jasmin 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M37-FL","408880","Frankrike","3052910001544","Syrups"
"Drouin Hors D'Age Calvados 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8245301","470831","Frankrike","3297364270126","Calvados"
"Monin chai 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M72","482901","Frankrike","03052910015923","Syrups"
"Gato Negro Sauvignon Blanc BIB 3L","12,00 kg","X 3 l","X 3 l","VSÖ","4","1000084","470815","Chile","17804300120730",""
"Saint Clair Sauv Blanc Marlborough 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","638201","469403","Nya Zeeland","",""
"Franziskaner Hefe Weissbier 50cl","10,00 kg","X 0,5 l","X 0,5 l","VSÖ","20","6525","473660","Tyskland","04072700009641","Veteöl"
"Reserva del Señor Blanco 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","9000638","469940","Mexico","","Tequila"
"Saint Clair Vicars Choice Sauvig Bl 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","1200001","467274","Nya Zeeland","",""
"Diplomatico Reserva Exclusiva 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","35601","471276","Venezuela","","Rom"
"Becks Ljus Lager 33cl","7,92 kg","X 0,33 l","X 0,33 l","VSÖ","24","49282","478040","Tyskland","04100130022692","Lager"
"Braastad VSOP 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","12","8794002","498956","Frankrike","3364048104128","Cognac"
"Balvenie 30 yo 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","1","7085001","476796","Storbritannien","05010327545509","Single malt, Speyside"
"Oppigårds Amarillo 33cl","6,60 kg","X 0,33 l","X 0,33 l","VSÖ","20","220004","498436","Sverige","7350016990387","Ale"
"Macon-Village Chardonnay 37,5cl","4,50 kg","X 0,375 l","X 0,375 l","VSÖ","12","229502","498691","Frankrike","03443200900461",""
"Monin mango 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M19","497727","Frankrike","03052910055226","Syrups"
"Giffard Watermelon Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR029","493999","Frankrike","","Syrups"
"Monin iste persika 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M57","497735","Frankrike","03052911170171","Syrups"
"St Clair Pinot Noir Marlborough 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","1601501","468793","Nya Zeeland","",""
"Knappogue 12 yo 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","X5172CL0701","493940","Irland","","Single malt, övrigt"
"Monin iste citron 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M56","497701","Frankrike","03052911170065","Syrups"
"O Haras Irish Red 50cl","6,00 kg","X 0,5 l","X 0,5 l","VSÖ","12","8945501","495341","Irland","05391500600643","Ale"
"Quinta Do Noval Late Bottled Vintag 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","8845001","489062","Portugal","","Portvin"
"Drinkmix Bloody Mary Mr & Mrs T 16,3cl","3,91 kg","3,91 l/Kartong","3,91 l/Kartong","Torrt","24","10062","523829","USA","10070655901783","Drinkmix"
"Drinkmix Margarita Mr & Mrs T 16,3cl","3,91 kg","3,91 l/Kartong","3,91 l/Kartong","Torrt","24","11126","523811","USA","17350076810363","Drinkmix"
"Monin pistage 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M39-FL","530352","Frankrike","03052910055271","Syrups"
"Monin Caribbean Rum 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M55-FL","497719","Frankrike","03052910002121","Syrups"
"Giffard Agave Syrup 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","GSR009","523753","Frankrike","3180290030035","Syrups"
"Giffard Framboise Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR018","523688","Frankrike","","Syrups"
"Giffard Chocolat Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR016","523605","Frankrike","3180293500382","Syrups"
"Giffard Peche Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR023","523613","Frankrike","3180297807814","Syrups"
"Monin saltad karamell 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M155","493106","Frankrike","3052911145094","Syrups"
"Giffard Elderflower Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR011","523472","Frankrike","","Syrups"
"Giffard Macadamia Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR014","523522","Frankrike","3180293501464","Syrups"
"Giffard Vanilla Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR015","523548","Frankrike","3180293502058","Syrups"
"Giffard Fraise Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR002","522573","Frankrike","3180298708714","Syrups"
"Giffard Grenadine Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR001","522508","Frankrike","","Syrups"
"Giffard Passionfruit Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR005","522672","Frankrike","3180297007016","Syrups"
"Giffard Caramel Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR010","522888","Frankrike","3180293500269","Syrups"
"Giffard Noisette Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR013","520445","Frankrike","3180293501488","Syrups"
"Lime Sweet and Sour pulvermix 680g","0,68 kg","12 X 0,68 kg/Kartong","12 X 0,68 kg/Kartong","Torrt","12","8-49","519272","Sverige","00076381234587","Drinkmix"
"O Haras Irish Stout 50cl","6,00 kg","X 0,5 l","X 0,5 l","VSÖ","12","8903601","490920","Irland","05391500600063","Stout"
"Giffard Granatäpple Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR022","522490","Frankrike","","Syrups"
"Giffard Orgeat Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR008","522185","Frankrike","","Syrups"
"Giffard Coconut Syrup 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","6","GSR004","522599","Frankrike","","Syrups"
"Diplomatico Ambassador 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","4","8646301","500546","Venezuela","","Rom"
"Herrgårds Akvavit 12x5cl","0,60 kg","X 0,05 l","X 0,05 l","VSÖ","120","1016235","600874","Sverige","6412700053523","Kryddad sprit"
"Robert Mondavi Woodbridge Zinfandel 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","1002236","500520","USA","05010134013239",""
"Skåne Akvavit 12x5cl","0,60 kg","X 0,05 l","X 0,05 l","VSÖ","120","1016238","600908","Sverige","6412700062525","Kryddad sprit"
"Hallands Fläder 12x5cl","0,60 kg","X 0,05 l","X 0,05 l","VSÖ","120","1016234","600833","Sverige","6412700052526","Kryddad sprit"
"Marqués de Copa Real Superior 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","35530115","600775","Spanien","",""
"Ailsa Bay 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","NG15091","601179","Storbritannien","5010327405629","Single malt, övrigt"
"Bäska Droppar 12x5cl","0,60 kg","X 0,05 l","X 0,05 l","VSÖ","120","1016232","600817","Sverige","6412700044521","Kryddad sprit"
"Gammal Norrlands Akvavit 12x5cl","0,60 kg","X 0,05 l","X 0,05 l","VSÖ","120","1016233","600825","Sverige","6412700049526","Kryddad sprit"
"O.P. Anderson 12x5cl","0,60 kg","X 0,05 l","X 0,05 l","VSÖ","120","1016237","600890","Sverige","6412700057521","Kryddad sprit"
"Monin creme brulee 70cl","0,70 kg","0,70 l/Flaska","0,70 l/Flaska","Torrt","6","M49-FL","564948","Frankrike","3052910041151","Syrups"
"Von Riben Riesling 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","35910116","600460","Australien","4044551053128",""
"Vila Silvia Toscana Rosso IGT 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","36030114","600221","Italien","8017746000012",""
"Monin fläder 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M81","551564","Frankrike","03052910018948","Syrups"
