"Product_Name","Weight","Unit","Number_Per_Unit","Storage_Form","Number_Whole_Package","Art_Nr_Supplier","Article_Number","Country","GTIN","Category"
"Evel Tinto 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X251RC1201","703138","Portugal","65601109211273",""
"San Giovanni Gyo Falerio Dop Pecorino 75","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","SANGYOW","703817","Italien","",""
"Gevrey Chambertin 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","X50080568201/12","703722","Frankrike","03560960002560",""
"Stoli Bluberi 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8752801","703751","Ryssland","4750021000461","Smaksatt sprit"
"Fonseca Tawny 10 yo 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","8727601","703710","Portugal","5013521100949","Portvin"
"San Giovanni Leo Guelfus Piceno Sup 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","SANLEO","703767","Italien","",""
"San Giovanni Gyo Piceno Superiore 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","SANGYOR","703779","Italien","",""
"Stoli Salted Caramel 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8781701","703728","Ryssland","4750021005091","Smaksatt sprit"
"Copenhagen Sparkling Tea grön 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","100602","703678","Danmark","5713814000139","Smaksatt vin"
"Mirafiore Barbera 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7290401","703801","Italien","08000174002086",""
"Saint Romain Rouge 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","X50080568401/12","703708","Frankrike","03560960002898",""
"Stoli Vanil 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8727701","703769","Ryssland","4750021000393","Smaksatt sprit"
"Crémant de Bourgogne 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7552001","703660","Frankrike","","Mousserande vin"
"Copenhagen Sparkling Tea röd 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","100603","703694","Danmark","5713814000153","Smaksatt vin"
"Don Roberto Añejo Cristalino 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8749-01","704064","Mexico","7503021034250","Tequila"
"Ruinart R Brut 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","9036216","703611","Frankrike","",""
"Pegos Claros Reserva 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7331101","703652","Portugal","",""
"Finca Antigua Tempranillo Organic 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","49929","703658","Spanien","8436543100822",""
"Don Roberto Reposado 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8750-01","704080","Mexico","7503021034229","Tequila"
"Petit Bourgeois Sauvignon Blanc 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7335301","704009","Frankrike","03365913009142",""
"L'Extra Par Langlois 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","49580","703991","Frankrike","03298029860546","Mousserande vin"
"Don Roberto Añejo 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8747-01","704031","Mexico","7503021034243","Tequila"
"Barbera d'Alba Vigna Serraboella 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","X50080563001","703969","Italien","08022610001071",""
"Barsol Torontel Pisco 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","BAP004","703942","Peru","7750323000128","Pisco"
"Åhus Akvavit 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","1050529","704023","","07312040552016","Kryddad sprit"
"Gerard Bertrand Reserve Special Syrah","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7883701","704047","Frankrike","03514123319521",""
"Barbaresco Vie Erte 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","X50080557401","703957","Italien","8022610001187",""
"Maraska Maraschino Zadar 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","MML001","703975","Kroatien","3850158404406","Likör"
"Barsol Acholado Pisco 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","BAP002","703934","Peru","7750323000104","Pisco"
"Kunstler Stielweg Alte Reben 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7919801","703912","Tyskland","04018759000147",""
"Allborg Porse 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8721801","703876","Danmark","5700359304969","Kryddad sprit"
"Stay espresso martini shot","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","100500","703884","Danmark","5706844515520","Likör"
"Fullers & Friends Galleon 30L","30,00 kg","X 30 l","X 30 l","VSÖ","1","49581","703918","Storbritannien","","Lager"
"Laphroaig 25 yo 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","10990013","703850","Storbritannien","05010019638298","Islay"
"Sankt Anna Pur m Riesling 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","8267-01","703862","Tyskland","",""
"Bourgeuil La Dilettante 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","X50080563201","703948","Frankrike","03760087931662",""
"Samuel Adams Sam 76 burk 33cl","7,92 kg","X 0,33 l","X 0,33 l","VSÖ","24","9016-15","703898","USA","087692006749","Lager"
"Appel des Sereines 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7809701/12","703835","Frankrike","23760090460108",""
"Bols Elderflower 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","10710284","703892","Nederländerna","08716000967978","Likör"
"Tommasi Villa Fontana Bardolino 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7150101","703627","Italien","08004645368169",""
"Marcel Hugg Pinot Gris 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","X5072MH0201","704270","Frankrike","3328779912827",""
"Ruinart Blanc de Blancs 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","9036211","703629","Frankrike","",""
"Etna Rosso Tenutra Delle Terre Nere 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","9902501","703595","Italien","",""
"Marques de Vargas Reserva 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","2461573001","704296","Spanien","08429345200012",""
"Tommasi Bosco Gal Bianco di Custoza 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7656801","703639","Italien","08004645356166",""
"Marcel Hugg Riesling Rés Saint Jean 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7783801","704262","Frankrike","3328779912254",""
"Bacardi Anejo Cuatro 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","3440032","704411","Puerto Rico","7610113001417","Rom"
"Barsol Quebranta Pisco 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","BAP001","703926","Peru","7750323000098","Pisco"
"Ruinart Rosé Brut 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","9036213","704239","Frankrike","03185370303320",""
"Lamberti Soave 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","36330217","704237","Italien","8000160112058",""
"Lamberti Prosecco Extra Dry 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","36350100","704199","Italien","8000160112881","Mousserande vin"
"Ardita Piemonte Cortese 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","35830317","704249","Italien","",""
"Latoque Rouge 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","49656","704213","Frankrike","3298029835421",""
"Mercier Brut Rosé 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","9026464","704205","Frankrike","03185370002476",""
"Lamberti Valpolicella Ripasso 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","36310115","704187","Italien","8000160112249",""
"GIOL Chardonnay Organic 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","2461573901","704318","Italien","18032535560130",""
"Lagom Kryddat Brännvin 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","12","1050540","704130","Finland","07350011530007","Kryddad sprit"
"Amaretto 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","1050570","704155","Nederländerna","08710625500725","Likör"
"Paul Sapin Merlot Cabernet pet 18,7cl","4,49 kg","X 0,187 l","X 0,187 l","VSÖ","24","NG08091","704197","Frankrike","3552655023769",""
"GIOL Sesto Senso 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","2461574101","704332","Italien","18032535560291",""
"Villa Belvedere Chardonnay 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","36330117","704128","Italien","08000160153396",""
"GIOL Pinot Grigio Organic 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","2461573801","704282","Italien","18032535560826",""
"Chukkers Malbec 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","35930117","704142","Argentina","4044551039122",""
"GIOL Merlot Organic 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","2461574001","704268","Italien","18032535560116",""
"Don Roberto Plata 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8748-01","704098","Mexico","7503021034236","Tequila"
"Stoneleigh Pinot Gris 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","1007227","704577","Nya Zeeland","69414505393698",""
"Tanqueray Lovage 1L","1,00 kg","X 1 l","X 1 l","VSÖ","6","3450051","704579","Storbritannien","5000291023561","Gin"
"Santa Tresa Cerasuolo di Vittoria 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7929701","704536","Italien","08034041270070",""
"Barceló Imperial Onyx 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","2461573601","704522","Dominikanska republiken","07461323129183","Rom"
"Calvet Minervois 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7182601","704502","Frankrike","13500611066173",""
"Graffigna Centario Malbec 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","1007376","704528","Argentina","07790168675686",""
"Folonari Pinot Grigio Pavia Rosé 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","36320117","704092","Italien","8000160133305",""
"Graffigna Centario Pinot Grigio 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","1007377","704510","Argentina","07790168675709",""
"Tomatin Cù Bòcan 70cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","80594-01","704593","Storbritannien","5018481022102","Single malt, övrigt"
"Santa Tresa Nìvuro 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","1530801","704551","Italien","08034041270711",""
"Organic Rosé Brut 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","NG18043","704458","Spanien","08410023030816",""
"Ontañón Tempranillo Blanco 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","1026532","704585","Spanien","68411767243878",""
"Riesling Alte Reben 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","7374001","704427","Tyskland","04007891021219",""
"Freixenet Italian Sparkling Rosé 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7273901/6A","704508","Italien","08410036806941",""
"Pure Lakrids Shot 16,4% 50x2cl","1,00 kg","X 0,02 l","X 0,02 l","VSÖ","50","1025198","704379","Danmark","","Likör"
"The Glenlivet Nadurra First Fill 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","1050541","704472","Storbritannien","05000299609200","Single malt, övrigt"
"Spätburgunder Schweigener 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","X50080566901","704377","Tyskland","04260059994125",""
"Los Monteros Cava Brut 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","X5226BM0501","704429","Spanien","857536000796","Cava"
"Fritz's Riesling 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7587701","704288","Tyskland","4022642008431",""
"Lamberti Prosecco Extra Dry 18,7cl","4,49 kg","X 0,187 l","X 0,187 l","VSÖ","24","36350200","704078","Italien","",""
"Siete Viñas Reserva 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","X50080537701","704439","Spanien","08420347292692",""
"Lord Calvert pet 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","12","1023756","704395","Canada","6412700126715","Blended Whiskey/Whisky"
"J.P. Chenet Colombard Chardonnay 18,7cl","4,49 kg","X 0,187 l","X 0,187 l","VSÖ","24","X5031GP1309","704312","Frankrike","03263288300737",""
"La Petite Perriere Pinot Rosé 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","1021592","704387","Frankrike","3276211812122",""
"Etna Rosso Caldera Sottana Grand Cru 75c","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","9033000","703587","Italien","8033182052057",""
"William Fèvre Chablis 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","8764201","704866","Frankrike","3443620010306",""
"Finca Antigua Cabernet Sauvignon 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","49667","703589","Spanien","8436543100600",""
"Duval-Leroy Champagne Brut Réserve 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","7795501","704924","Frankrike","3259456002558",""
"Lirac Organic 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","249007601","704902","Frankrike","",""
"Campogiovanni Brunello Montalcino 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","9903101","704916","Italien","0709067101100",""
"Xanté Sour 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","12","1024663","704858","Sverige","6412703120123","Likör"
"Tequila Corralejo Repo 100% Agave 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","CTR001","704783","Mexico","7503000677232","Tequila"
"Evel Branco 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X251RC1101","703102","Portugal","65601109211280",""
"Pierre & Paul Extra Pale 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7707401","704852","Frankrike","3663852006773",""
"Tiscaz Blanco 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","7852601","704757","Mexico","03147699105597","Tequila"
"Cartron Grapefruit 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","8647602","705285","Frankrike","","Likör"
"Isle Of Jura 18 yo 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8209601","705127","Storbritannien","05013967012547","Single malt, Isle of Jura"
"Parducci Chardonnay 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","48302","705137","USA","",""
"Tequila Corralejo Blanco 100% Agave 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","CTB001","704775","Mexico","7503000677331","Tequila"
"Isle of Jura 10 yo 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8041501","705111","Storbritannien","05013967012486","Single malt, Isle of Jura"
"Isle of Jura 12 yo 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8286901","705129","Storbritannien","05013967012509","Single malt, Isle of Jura"
"Novas Gran Reserva Cabern Sauv Malb 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","645001/12B","705095","Chile","17804320745418",""
"Bols Jambu Szechuan Pepper 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","10710152","705089","Nederländerna","8716000969293","Likör"
"Offley Cachucha 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","12750190","705172","Polen","5601034022508","Portvin"
"Cava Aretey Brut 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7605601","705152","Spanien","","Cava"
"Badet Clement Cuvée Prestige Rosé 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X5072BC0101","705061","Frankrike","3525492574923",""
"Stoneleigh Latitude Chardonnay 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","1050453","705483","Nya Zeeland","69414505677385",""
"Bodvár No 5 Rosé 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","15BR809","705448","Frankrike","27350055560026",""
"Badet Clement Cuvée Prestige Blanc 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X5072BC0301","705046","Frankrike","3525492573056",""
"Las Mulas Carmenere 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","236201","705418","Chile","18410113002157",""
"Bols Butterscotch 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","10710249","705087","Nederländerna","8716000966155","Likör"
"Bodvár No 1 Pearly Rosé 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","15BR617","705457","Frankrike","17350055560012",""
"Atrevido White 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7978101","705398","Spanien","38427894021189",""
"The Famous Grouse Bourbon Cask 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","13980003","705368","Storbritannien","05010314306236","Blended Scotch"
"Bodvár No 7 Rosé 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","15BR813","705442","Frankrike","3455090083858",""
"Atrevido Red 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7978201","705392","Spanien","38427894021196",""
"Chablis 1er Cru Montmains 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7579001","705400","Frankrike","",""
"Absolut Mixt Cloudberry Apple burk 25cl","3,00 kg","X 0,25 l","X 0,25 l","VSÖ","12","1050528","705376","Sverige","7312040322732","Blanddryck"
"Heinrichshof Weissburgunder 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X5499HH0301","705778","Tyskland","4260453170200",""
"Absolut Mixt Blueberry Lime burk 25cl","3,00 kg","X 0,25 l","X 0,25 l","VSÖ","12","1050527","705384","Sverige","7312040322718","Blanddryck"
"Bols Pinkgrape 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","10710383","705749","Nederländerna","8716000968661","Likör"
"P.Lex Rosato Spumante 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7705501","705362","Italien","08008863287950",""
"Fleuriet Sancerre Tradition 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X5499BF0201","705747","Frankrike","3760076460074",""
"Tempestad Godello 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X5499DH0301","705764","Spanien","18437012917276",""
"Bols Cucumber 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","10710384","705731","Nederländerna","8716000969521","Likör"
"Blason Bourgogne Crèmant Bourgogne 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X50080568901/6","705707","Frankrike","03340770000457","Mousserande vin"
"Wild Turkey Rye 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8550401N","705723","USA","00721059847001","Amerikansk Whiskey"
"Quinta da Costa 1,5L","1,50 kg","X 1,5 l","X 1,5 l","VSÖ","1","LFQM09","705640","Polen","5604086136032",""
"Nardini Bianca 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","7710001","705638","Italien","8000513000070","Övrig sprit"
"Harahorn Gin 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","8880302","705715","Norge","7024975622220","Gin"
"Allesverloren Chenin Blanc 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7598601","705657","Sydafrika","06001108086853",""
"Underwood Rosé burk 37,5cl","9,00 kg","X 0,375 l","X 0,375 l","VSÖ","24","X50080560115/24","705673","USA","10856036001064",""
"Rio Claro Sauvignon Blanc 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","685101","705525","Chile","18410113006629",""
"Fontanafredda Solerose 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X50080570901/6","705558","Italien","8000174003007",""
"Vila Santa White 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7318101","705632","Portugal","25604135000424",""
"Fullers Session IPA 30L","30,00 kg","X 30 l","X 30 l","VSÖ","1","49526","705624","Storbritannien","","Ale"
"Sankt Anna Spätburgunder 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","8268-01","705566","Tyskland","4026371930391",""
"Underwood Bubbles burk 37,5cl","9,00 kg","X 0,375 l","X 0,375 l","VSÖ","24","X50080569715/24","705697","USA","18560360010983","Mousserande vin"
"Somersby Double Press Apple Cider 33cl","7,92 kg","X 0,33 l","X 0,33 l","VSÖ","24","18700","705665","Sverige","7310074005270","Cider"
"Louis Mass Millesime Grand Cru 2008 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","7741701","706129","Frankrike","03261260000347",""
"Pineau des Charentes 20 yo 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","7611401","706085","Frankrike","","Övriga Starkviner"
"Louis Massing Grand Cru Blanc 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","741901","706077","Frankrike","03261260007919",""
"Jägermeister Manifest 100cl","1,00 kg","X 1 l","X 1 l","VSÖ","6","8173301N","706067","Tyskland","4067700017864","Likör"
"Governo La Bestia Rosso Toscana 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7252601","706051","Italien","17350076790078",""
"La Cour Des Papes 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7460401","706028","Frankrike","03367770008580",""
"Louis Massing Brut Reserve 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","740301","706022","Frankrike","33261260000263",""
"Roccamozzi Sangiovese 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7361901","706002","Italien","17350076790153",""
"NV Ecoltura Prosecco Extra Dry 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7701801","705982","Italien","17350076790085","Mousserande vin"
"Le Tense Sassella Valtelina Superior75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","3234101","705970","Italien","08000160161711",""
"Lancewood Sauvignon Blanc 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7713501","705937","Nya Zeeland","17350076790351",""
"The Black Shiraz 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","613101","705905","Australien","",""
"Leacock´s 5 YO Full Rich Malmsey 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7629101","706408","Portugal","05010867800366","Madeira"
"Highland Park Cask Strength 10 yo 35cl","0,35 kg","X 0,35 l","X 0,35 l","VSÖ","12","10200029","705863","Storbritannien","05010314303280",""
"Marolo Barolo Operakällaren 1,5L","1,50 kg","X 1,5 l","X 1,5 l","VSÖ","3","61411300","706388","Italien","8019005000177","Övrig sprit"
"Gran Appasso 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7178501","706390","Italien","80219040031592",""
"Ropiteau Petit Chablis BIB 2L","12,00 kg","X 2 l","X 2 l","VSÖ","6","2150080","706382","Frankrike","03473120610102",""
"Patrón Citrónage Orange Liquer 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","8301901","706352","Mexico","",""
"Alfred Gratien Cuvée Paradis 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","7861601","706319","Frankrike","3594580000101",""
"Ecoltura Valpociella 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7912501","705913","Italien","08022138027966",""
"Perlino Bianco 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","817801","706283","Italien","08000428025410",""
"Leacock`s Saint John Madeira 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","782701","706257","Portugal","05010867800236","Madeira"
"Domaine de Sèrame Viognier 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X50080571301/6","706630","Frankrike","",""
"Perlino Rosso 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","7608001","706291","Italien","08000428025458",""
"Marqués de Cácares Crianza 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","273401","706267","Spanien","08410406391008",""
"Marqués de Cáceres Excellens Cuvée 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X512213201","706275","Spanien","08410406000542",""
"De Kuyper Melon 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","1050607","706671","Nederländerna","08710625316500","Likör"
"Domaine de Sèrame Syrah 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","X50080571201/6","706628","Frankrike","",""
"Jameson Original 35cl","4,20 kg","X 0,35 l","X 0,35 l","VSÖ","12","1050169","706642","Irland","05011007003739","Blended Whiskey/Whisky"
"Menabrea Amber 33cl","7,92 kg","X 0,33 l","X 0,33 l","VSÖ","24","8978703","706564","Italien","08009076000114","Lager"
"Drops Citrus & Ginger 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","12","530-01","706578","Sverige","7300009000968","Övrig sprit"
"Pittnauer Pitti 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","PIPI15","706592","Österrike","9120011734686",""
"Hernö Gin Eco 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","12","1024961","706531","Sverige","7350064520024","Gin"
"Kyrö Long Drink 33cl","7,92 kg","X 0,33 l","X 0,33 l","VSÖ","24","2461574804","706549","Finland","56430055040215","Blanddryck"
"Nils Oscar Oktoberfest 50cl","7,50 kg","X 0,5 l","X 0,5 l","VSÖ","15","110450","706556","Sverige","17330591000265","Lager"
"Nils Oscar Kellerbier 50cl","7,50 kg","X 0,5 l","X 0,5 l","VSÖ","15","110550","706903","Sverige","17330591001149","Lager"
"NKB Endless Summer NEIPA burk 33cl","7,92 kg","X 0,33 l","X 0,33 l","VSÖ","24","22212","706895","Sverige","17350083091267","Ale"
"Bitburger Pils 50cl","9,00 kg","X 0,5 l","X 0,5 l","VSÖ","18","156501","706440","Tyskland","04102430021399","Lager"
"NKB Garage Pils Craft Pilsner burk 33cl","7,92 kg","X 0,33 l","X 0,33 l","VSÖ","24","22210","706877","Sverige","17350083091366","Ale"
"Parducci Pinot Noir 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","48303","706465","USA","",""
"La Bastille Carignan Merlot 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","49655","706846","Frankrike","3298029423963",""
"Finca Antigua Viura 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","49986","706832","Spanien","8436543100631",""
"Allesverloren 1704 Red 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7306101","706438","Sydafrika","06001108081193",""
"Garzon Tannat 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","49649","706838","Uruguay","27730951080284",""
"ZUBR Premium 50cl","10,00 kg","X 0,5 l","X 0,5 l","VSÖ","20","125601","706812","Tjeckien","8593875210145","Lager"
"Corte Giara Ripasso 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7180601","706788","Italien","8032636779359",""
"NKB Hokitika Hootch IPA burk 33cl","7,92 kg","X 0,33 l","X 0,33 l","VSÖ","24","22211","706887","Sverige","17350083099188","Ale"
"Mas Pere Brut Ecologic 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","49906","706749","Spanien","8426998250074","Cava"
"Malfy Gin Con Arancia 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","X5482MY0201/6","706796","Italien","0853222006226","Gin"
